"text";"created";"screenName"
"@Scarfac52717514 @dbn_sfc @futebol_info Uau, uma a mais, parab<e9>ns pelo gigantismo.";2019-12-19 01:33:30;"David_CRFla"
"Chegou uma encomenda pra mim no chibe e ele n<e3>o sai do futebol pra ir ver o que <e9>, que noivo t<f3>xico";2019-12-19 01:33:30;"SteMagalha"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:33:27;"diogovillar"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:33:25;"BellePassos01"
"futebol de sab<e3>o ficou o trem, porradeiro rolou solto";2019-12-19 01:33:24;"freitasdantas16"
"RT @SantosOpressivo: Jogador de futebol n<e3>o ama clube

Ama dinheiro
Ama status

QUEM AMA CLUBE SOMOS N<d3>S TORCEDORES, NUNCA SE ESQUE<c7>AM DISS<U+0085>";2019-12-19 01:33:22;"moana_eleonor"
"RT @caioblois: Notas oficiais, no geral, s<e3>o p<e9>ssimas. Mas essa aqui <e9> <f3>tima. Parab<e9>ns ao @SaoPauloFC que entendeu que o papel de gigante n<U+0085>";2019-12-19 01:33:14;"NaTransversal"
"@RaposaoDoPovo Acho que se referiu ao futebol.";2019-12-19 01:33:10;"julioreis78"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:33:10;"pornotrance"
"@dbn_sfc @Scarfac52717514 @futebol_info T<e1> perdido? Quem aqui disse que o Flamengo <e9> o <fa>nico a ter libertadores? O<U+0085> https://t.co/UHJz97PJyw";2019-12-19 01:33:05;"David_CRFla"
"RT @hectorwerlang: Cruzeiro s<f3> aceita prorrogar empr<e9>stimo Dig<e3>o se o Fluminense arcar com 100% do sal<e1>rio do zagueiro  https://t.co/elPfDK<U+0085>";2019-12-19 01:33:04;"NaTransversal"
"@Ju_silvarib @lopixwilliam @futebol_info Nos deixar rico? Caindo d paraquedas na presid<ea>ncia com o projeto dos outros.... Nem isso";2019-12-19 01:32:56;"Flanatica81"
"RT @StanleyBresh: @Miltonneves @raffajuruninha @Cristiano <c9> o Vince Carter do futebol.";2019-12-19 01:32:54;"AlbertoCVillar"
"Algu<e9>m agiliza um futebol de campo pelo amor de Deus";2019-12-19 01:32:53;"xroncato"
"Depois de 2 futebol t<f4> sem perna, e quase ficam no campo, o racinha pra bater";2019-12-19 01:32:46;"andersonpant92"
"RT @guimb_19: Orgulho de poder estar participando deste projeto, smp agrade<e7>o ao Mauricio por me abrir as portas do MW e poder por em prati<U+0085>";2019-12-19 01:32:45;"MWfutebol"
"Grande Caio Ribeiro. https://t.co/JqNR9aC3v1";2019-12-19 01:32:45;"diogodionizio"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:32:39;"luizassp_"
"RT @samircarvalho: Valor que o Corinthians oferece ao D<ed>namo pelo Sidcley. Avaliem vcs se <e9> justo. #mercadodaBolaUOL 

Corinthians oferece<U+0085>";2019-12-19 01:32:39;"paulocolacique"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:32:39;"EusouUill"
"E pensar que nunca imaginei que um dia iria ver o Flamengo enfrentar um grande do futebol europeu, nem nos meus mel<U+0085> https://t.co/u0AcneJdv4";2019-12-19 01:32:39;"RubroNegroPlus"
"RT @brazbruno: Vasco entra em acordo com Uni<e3>o e se v<ea> livre de penhora de R$ 22 milh<f5>es 

Ideia <e9> come<e7>ar a quitar os atrasados para jogad<U+0085>";2019-12-19 01:32:38;"VascoNews3"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:32:36;"pcleao06"
"\"RT @gerdwenzel: Comunicado oficial do Hertha Berlin depois de dar por encerrado o jogo contra o Auerbach: \\"Nossos jogadores foram alvo de i<U+0085>\"";2019-12-19 01:32:34;"cuticuladepeixe"
"\"RT @notavel: De tempos em tempos um jogador se rebela contra essas praxes no futebol e informa ao staff: \\"Eu vou jogar aqui mesmo, amigo. A<U+0085>\"";2019-12-19 01:32:32;"gabrielbrites17"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:32:30;"GMVK23"
"RT @Flamengo: Mais informa<e7><f5>es em:

<U+0001F449> https://t.co/i7OfI8U5Sg https://t.co/KEHFoU4Fvq";2019-12-19 01:32:25;"Palomaloh03"
"Let's get real! Vesti<e1>rio do Flamengo de Guarulhos. Bem-vindos mais uma vez ao futebol que (quase) ningu<e9>m v<ea> <U+0001F635><U+0085> https://t.co/j9fuxpW5fe";2019-12-19 01:32:17;"fernandadelima"
"RT @SantosFC: A inspira<e7><e3>o de qualquer jogada existente no futebol <U+0001F451> https://t.co/zwUMgamHTf";2019-12-19 01:32:16;"Dengo013"
"@lancenet L<e1> como c<e1> esse VAR s<f3> veio pra encher mais o saco e deixar pior o futebol; <c9> <f3>bvio que se as decis<f5>es de<U+0085> https://t.co/CQSPtyv1pg";2019-12-19 01:32:14;"adilsonfreiresp"
"v<e1>rios clubes do futebol br preferiram lan<e7>ar marcas pr<f3>prias a optar por um dos mtos fornecedores j<e1> atuantes no m<U+0085> https://t.co/FyYMAnhN2P";2019-12-19 01:32:09;"juliozzcesar"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:32:09;"matxcrf"
"\"Apesar de flamenguista <e9> meio p<e9> frio, s<ed>ndrome do Mick Jagger, vamos rezar. 
Sem \\"haja cora<e7><e3>o\\" , j<e1> deu.";NA;NA
"Galv<e3>o<U+0085> https://t.co/ScC4l5rk0X\"";2019-12-19 01:32:06;"Leostill"
"@Miltonneves @raffajuruninha @Cristiano <c9> o Vince Carter do futebol.";2019-12-19 01:32:02;"StanleyBresh"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:31:58;"manwilxmrs"
"@donfiori1 @eucaioviana @aquafharyus @heitorcandid0 @futebol_info @flumifogodagama 81 <e9> hist<f3>rico, fera. Estamos fa<U+0085> https://t.co/9T4o9sUhhJ";2019-12-19 01:31:57;"mariofla95"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:31:56;"DEuthalio"
"RT @livialaranjeira: A @joannadeassis, o @oleeonardo e o @Marcelo_Hazan tiveram acesso <e0> declara<e7><e3>o de pris<e3>o de Jean na Fl<f3>rida. De acordo<U+0085>";2019-12-19 01:31:51;"totuss__tuus"
